source,output,verts,faces,target_faces_used,abs_vert_error
cars_doc.ply,cars_doc_5k_upright_wheels_down.ply,4942,10000,10000,58
f1_car.ply,f1_car_5k_upright_wheels_down.ply,5002,10244,10245,2
f1_verstappen.ply,f1_verstappen_5k_upright_wheels_down.ply,5005,10326,10326,5
g_class.ply,g_class_5k_upright_wheels_down.ply,4950,10000,10000,50
green_suv.ply,green_suv_5k_upright_wheels_down.ply,4980,10000,10000,20
mini_cooper.ply,mini_cooper_5k_upright_wheels_down.ply,4968,10000,10000,32
no_roof_car.ply,no_roof_car_5k_upright_wheels_down.ply,4960,10000,10000,40
pink_samrt.ply,pink_samrt_5k_upright_wheels_down.ply,4986,10000,10000,14
red_smart.ply,red_smart_5k_upright_wheels_down.ply,4998,10000,10000,2
red_truck1.ply,red_truck1_5k_upright_wheels_down.ply,4986,10000,10000,14
red_truck2.ply,red_truck2_5k_upright_wheels_down.ply,4990,10000,10000,10
red_truck3.ply,red_truck3_5k_upright_wheels_down.ply,4974,10000,10000,26
red_truck4.ply,red_truck4_5k_upright_wheels_down.ply,4934,10000,10000,66
venom_qt.ply,venom_qt_5k_upright_wheels_down.ply,4972,10000,10000,28
white_longer_mini_cargo_truck.ply,white_longer_mini_cargo_truck_5k_upright_wheels_down.ply,4955,10000,10000,45
